*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 21 2024 21:50:18
*************************************************
parsing config file: /home/shichen/os/compile-time-prefetcher-classification/ChampSim/config/spp_dev2.ini

trace_0 /home/shichen/os/compile-time-prefetcher-classification/ChampSim/traces/462.libquantum-1343B.champsimtrace.xz
adding L2C_PREFETCHER: SPP_dev2
Initialize SIGNATURE TABLE
ST_SET: 1
ST_WAY: 256
ST_TAG_BIT: 16
ST_TAG_MASK: ffff

Initialize PATTERN TABLE
PT_SET: 512
PT_WAY: 4
SIG_DELTA_BIT: 7
C_SIG_BIT: 4
C_DELTA_BIT: 4

Initialize PREFETCH FILTER
FILTER_SET: 1024
fill_threshold: 90
pf_threshold: 40

Initialize SHIP state
warmup_instructions 100000000
simulation_instructions 500000000
champsim_seed 269
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13


Heartbeat CPU  0 instructions:    1000000 cycles:     609630 heartbeat IPC: 1.64034 cumulative IPC: 1.64034 (Simulation time: 0 hr 0 min 1 sec) 
Heartbeat CPU  0 instructions:    2000001 cycles:    1181794 heartbeat IPC: 1.74775 cumulative IPC: 1.69234 (Simulation time: 0 hr 0 min 2 sec) 
Heartbeat CPU  0 instructions:    3000000 cycles:    1700189 heartbeat IPC: 1.92903 cumulative IPC: 1.76451 (Simulation time: 0 hr 0 min 3 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2218917 heartbeat IPC: 1.92779 cumulative IPC: 1.80268 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    5000000 cycles:    2737600 heartbeat IPC: 1.92796 cumulative IPC: 1.82642 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    6000000 cycles:    3256457 heartbeat IPC: 1.92731 cumulative IPC: 1.84249 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  0 instructions:    7000003 cycles:    3775036 heartbeat IPC: 1.92835 cumulative IPC: 1.85429 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    4293947 heartbeat IPC: 1.92711 cumulative IPC: 1.86309 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    9000002 cycles:    4812514 heartbeat IPC: 1.92840 cumulative IPC: 1.87012 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:   10000002 cycles:    5330854 heartbeat IPC: 1.92924 cumulative IPC: 1.87587 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  0 instructions:   11000001 cycles:    5849123 heartbeat IPC: 1.92950 cumulative IPC: 1.88062 (Simulation time: 0 hr 0 min 12 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    6367718 heartbeat IPC: 1.92829 cumulative IPC: 1.88451 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:   13000002 cycles:    6885784 heartbeat IPC: 1.93026 cumulative IPC: 1.88795 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  0 instructions:   14000003 cycles:    7404251 heartbeat IPC: 1.92876 cumulative IPC: 1.89081 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  0 instructions:   15000000 cycles:    7922781 heartbeat IPC: 1.92852 cumulative IPC: 1.89327 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    8441636 heartbeat IPC: 1.92732 cumulative IPC: 1.89537 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  0 instructions:   17000000 cycles:    8960094 heartbeat IPC: 1.92880 cumulative IPC: 1.89730 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  0 instructions:   18000000 cycles:    9478981 heartbeat IPC: 1.92720 cumulative IPC: 1.89894 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:    9997468 heartbeat IPC: 1.92869 cumulative IPC: 1.90048 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   10516334 heartbeat IPC: 1.92728 cumulative IPC: 1.90180 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  0 instructions:   21000000 cycles:   11034794 heartbeat IPC: 1.92879 cumulative IPC: 1.90307 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:   22000000 cycles:   11553024 heartbeat IPC: 1.92965 cumulative IPC: 1.90426 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  0 instructions:   23000000 cycles:   12071378 heartbeat IPC: 1.92918 cumulative IPC: 1.90533 (Simulation time: 0 hr 0 min 25 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   12590023 heartbeat IPC: 1.92810 cumulative IPC: 1.90627 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:   25000000 cycles:   13216385 heartbeat IPC: 1.59652 cumulative IPC: 1.89159 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  0 instructions:   26000000 cycles:   14157847 heartbeat IPC: 1.06218 cumulative IPC: 1.83644 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  0 instructions:   27000000 cycles:   15095947 heartbeat IPC: 1.06598 cumulative IPC: 1.78856 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   16037031 heartbeat IPC: 1.06260 cumulative IPC: 1.74596 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  0 instructions:   29000002 cycles:   16975071 heartbeat IPC: 1.06605 cumulative IPC: 1.70839 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  0 instructions:   30000000 cycles:   17915177 heartbeat IPC: 1.06371 cumulative IPC: 1.67456 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  0 instructions:   31000001 cycles:   18854364 heartbeat IPC: 1.06475 cumulative IPC: 1.64418 (Simulation time: 0 hr 0 min 37 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   19793534 heartbeat IPC: 1.06477 cumulative IPC: 1.61669 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  0 instructions:   33000002 cycles:   20734526 heartbeat IPC: 1.06271 cumulative IPC: 1.59155 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  0 instructions:   34000003 cycles:   21672653 heartbeat IPC: 1.06595 cumulative IPC: 1.56880 (Simulation time: 0 hr 0 min 41 sec) 
