*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 21 2024 21:50:18
*************************************************
parsing config file: /home/shichen/os/compile-time-prefetcher-classification/ChampSim/config/spp_dev2.ini

trace_0 /home/shichen/os/compile-time-prefetcher-classification/ChampSim/traces/607.cactuBSSN_s-4004B.champsimtrace.xz
adding L2C_PREFETCHER: SPP_dev2
Initialize SIGNATURE TABLE
ST_SET: 1
ST_WAY: 256
ST_TAG_BIT: 16
ST_TAG_MASK: ffff

Initialize PATTERN TABLE
PT_SET: 512
PT_WAY: 4
SIG_DELTA_BIT: 7
C_SIG_BIT: 4
C_DELTA_BIT: 4

Initialize PREFETCH FILTER
FILTER_SET: 1024
fill_threshold: 90
pf_threshold: 40

Initialize SHIP state
warmup_instructions 100000000
simulation_instructions 500000000
champsim_seed 266
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13


Heartbeat CPU  0 instructions:    1000002 cycles:     570283 heartbeat IPC: 1.75352 cumulative IPC: 1.75352 (Simulation time: 0 hr 0 min 2 sec) 
Heartbeat CPU  0 instructions:    2000001 cycles:    1139894 heartbeat IPC: 1.75558 cumulative IPC: 1.75455 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    3000000 cycles:    1710014 heartbeat IPC: 1.75401 cumulative IPC: 1.75437 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2279552 heartbeat IPC: 1.75581 cumulative IPC: 1.75473 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:    5000003 cycles:    2849571 heartbeat IPC: 1.75433 cumulative IPC: 1.75465 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:    6000003 cycles:    3419544 heartbeat IPC: 1.75447 cumulative IPC: 1.75462 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  0 instructions:    7000000 cycles:    3989673 heartbeat IPC: 1.75398 cumulative IPC: 1.75453 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    4559486 heartbeat IPC: 1.75496 cumulative IPC: 1.75458 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  0 instructions:    9000002 cycles:    5129294 heartbeat IPC: 1.75498 cumulative IPC: 1.75463 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:   10000000 cycles:    5699112 heartbeat IPC: 1.75494 cumulative IPC: 1.75466 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:   11000003 cycles:    6269562 heartbeat IPC: 1.75301 cumulative IPC: 1.75451 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    6839208 heartbeat IPC: 1.75547 cumulative IPC: 1.75459 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  0 instructions:   13000003 cycles:    7409111 heartbeat IPC: 1.75469 cumulative IPC: 1.75460 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:   14000003 cycles:    7979798 heartbeat IPC: 1.75227 cumulative IPC: 1.75443 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   15000001 cycles:    8549402 heartbeat IPC: 1.75560 cumulative IPC: 1.75451 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    9118986 heartbeat IPC: 1.75567 cumulative IPC: 1.75458 (Simulation time: 0 hr 0 min 41 sec) 
Heartbeat CPU  0 instructions:   17000001 cycles:    9688944 heartbeat IPC: 1.75452 cumulative IPC: 1.75458 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  0 instructions:   18000001 cycles:   10258603 heartbeat IPC: 1.75544 cumulative IPC: 1.75462 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  0 instructions:   19000003 cycles:   10828635 heartbeat IPC: 1.75429 cumulative IPC: 1.75461 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   11397945 heartbeat IPC: 1.75651 cumulative IPC: 1.75470 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  0 instructions:   21000002 cycles:   11967722 heartbeat IPC: 1.75508 cumulative IPC: 1.75472 (Simulation time: 0 hr 0 min 54 sec) 
Heartbeat CPU  0 instructions:   22000003 cycles:   12537998 heartbeat IPC: 1.75354 cumulative IPC: 1.75467 (Simulation time: 0 hr 0 min 57 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:   13107422 heartbeat IPC: 1.75616 cumulative IPC: 1.75473 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   13677088 heartbeat IPC: 1.75541 cumulative IPC: 1.75476 (Simulation time: 0 hr 1 min 2 sec) 
Heartbeat CPU  0 instructions:   25000000 cycles:   14247166 heartbeat IPC: 1.75415 cumulative IPC: 1.75473 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  0 instructions:   26000003 cycles:   14816694 heartbeat IPC: 1.75585 cumulative IPC: 1.75478 (Simulation time: 0 hr 1 min 7 sec) 
Heartbeat CPU  0 instructions:   27000003 cycles:   15386777 heartbeat IPC: 1.75413 cumulative IPC: 1.75475 (Simulation time: 0 hr 1 min 10 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   15956412 heartbeat IPC: 1.75550 cumulative IPC: 1.75478 (Simulation time: 0 hr 1 min 12 sec) 
Heartbeat CPU  0 instructions:   29000002 cycles:   16525918 heartbeat IPC: 1.75591 cumulative IPC: 1.75482 (Simulation time: 0 hr 1 min 15 sec) 
Heartbeat CPU  0 instructions:   30000001 cycles:   17096143 heartbeat IPC: 1.75369 cumulative IPC: 1.75478 (Simulation time: 0 hr 1 min 17 sec) 
Heartbeat CPU  0 instructions:   31000000 cycles:   17666134 heartbeat IPC: 1.75441 cumulative IPC: 1.75477 (Simulation time: 0 hr 1 min 20 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   18235632 heartbeat IPC: 1.75593 cumulative IPC: 1.75481 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   18805688 heartbeat IPC: 1.75421 cumulative IPC: 1.75479 (Simulation time: 0 hr 1 min 25 sec) 
Heartbeat CPU  0 instructions:   34000003 cycles:   19375637 heartbeat IPC: 1.75455 cumulative IPC: 1.75478 (Simulation time: 0 hr 1 min 28 sec) 
