Trace,Prefetcher,Core_0_instructions,Core_0_cycles,Core_0_IPC,Core_0_branch_prediction_accuracy,Core_0_branch_MPKI,Core_0_L1D_total_access,Core_0_L1D_total_hit,Core_0_L1D_total_miss,Core_0_L1D_loads,Core_0_L1D_load_hit,Core_0_L1D_load_miss,Core_0_L1D_RFOs,Core_0_L1D_RFO_hit,Core_0_L1D_RFO_miss,Core_0_L1D_average_miss_latency,L1D_Hit_Rate,L1D_Miss_Rate,L1D_Load_Hit_Rate,L1D_Load_Miss_Rate,L1D_RFO_Hit_Rate,L1D_RFO_Miss_Rate
403.gcc-16B,bingo.out,500000000,845004420,0.59171,99.11262,1.69223,70963701,48009976,22953725,34291524,28914399,5377125,36672177,19095577,17576600,89.89573,67.65427299,32.34572701,84.31937583,15.68062417,52.07102104,47.92897896
403.gcc-16B,mlop.out,500000000,924291144,0.54096,99.11262,1.69223,71012556,48058773,22953783,34278355,28920016,5358339,36734201,19138757,17595444,93.78964,67.67644443,32.32355557,84.36815594,15.63184406,52.10064866,47.89935134
403.gcc-16B,nopref.out,500000000,1323441335,0.3778,99.11262,1.69223,69700230,46746464,22953766,33231668,27876259,5355409,36468562,18870205,17598357,115.14778,67.06787625,32.93212375,83.88462174,16.11537826,51.74375946,48.25624054
403.gcc-16B,pmp.out,500000000,642218450,0.778551,99.0879,1.81881,78210943,55110970,23099973,35712429,32154714,3557715,39213549,22129530,17084019,327.363,70.46452566,29.53547434,90.03788009,9.962119911,56.43337715,43.56662285
403.gcc-16B,pythia.out,500000000,908629123,0.55028,99.11262,1.69223,71048830,48095089,22953741,34213626,28821647,5391979,36835204,19273442,17561762,91.72416,67.69300635,32.30699365,84.24025854,15.75974146,52.32342951,47.67657049
403.gcc-16B,spp.out,500000000,1034170123,0.48348,99.11262,1.69223,70488301,47534560,22953741,33849717,28469337,5380380,36638584,19065223,17573361,101.30583,67.43609837,32.56390163,84.10509606,15.89490394,52.03591656,47.96408344
410.bwaves-2097B,bingo.out,500000000,501746875,0.99652,97.8935,0.73267,231357344,221158758,10198586,195315258,185383642,9931616,36042086,35775116,266970,70.47725,95.59184687,4.40815313,94.91508441,5.08491559,99.25928261,0.74071739
410.bwaves-2097B,mlop.out,500000000,436471666,1.14555,97.8935,0.73267,231525729,221342359,10183370,195609628,185687755,9921873,35916101,35654604,261497,38.03985,95.60162491,4.398375094,94.92771746,5.07228254,99.27192264,0.72807736
410.bwaves-2097B,nopref.out,500000000,864551988,0.57833,97.8935,0.73267,228781329,218582140,10199189,192649774,182722671,9927103,36131555,35859469,272086,294.99241,95.54194871,4.458051295,94.8470726,5.1529274,99.2469574,0.7530426
410.bwaves-2097B,pmp.out,500000000,339588293,1.47237,97.8935,0.73267,233381720,223698191,9683529,188700066,186250069,2449997,35949810,35729582,220228,152.608,95.85077657,4.149223427,98.70164486,1.298355137,99.38740149,0.612598509
410.bwaves-2097B,pythia.out,500000000,428305908,1.16739,97.8935,0.73267,231454435,221254441,10199994,195487208,185554577,9932631,35967227,35699864,267363,36.04759,95.59308768,4.40691232,94.91903787,5.08096213,99.25664828,0.74335172
